timestamp,axis,direction,speed_level,zoom,repeat_idx,position
2026-05-25 10:29:02.682,tilt,1,1,10,2,466.0
2026-05-25 10:29:02.820,tilt,1,1,10,2,466.0
2026-05-25 10:29:02.967,tilt,1,1,10,2,466.0
2026-05-25 10:29:03.104,tilt,1,1,10,2,467.0
2026-05-25 10:29:03.220,tilt,1,1,10,2,467.0
2026-05-25 10:29:03.360,tilt,1,1,10,2,467.0
2026-05-25 10:29:03.493,tilt,1,1,10,2,468.0
2026-05-25 10:29:03.635,tilt,1,1,10,2,468.0
2026-05-25 10:29:03.776,tilt,1,1,10,2,468.0
2026-05-25 10:29:03.922,tilt,1,1,10,2,469.0
2026-05-25 10:29:04.056,tilt,1,1,10,2,469.0
2026-05-25 10:29:04.196,tilt,1,1,10,2,469.0
2026-05-25 10:29:04.333,tilt,1,1,10,2,470.0
2026-05-25 10:29:04.482,tilt,1,1,10,2,470.0
2026-05-25 10:29:04.617,tilt,1,1,10,2,470.0
2026-05-25 10:29:04.766,tilt,1,1,10,2,471.0
2026-05-25 10:29:04.894,tilt,1,1,10,2,471.0
2026-05-25 10:29:05.012,tilt,1,1,10,2,471.0
2026-05-25 10:29:05.132,tilt,1,1,10,2,472.0
2026-05-25 10:29:05.281,tilt,1,1,10,2,472.0
2026-05-25 10:29:05.407,tilt,1,1,10,2,472.0
2026-05-25 10:29:05.549,tilt,1,1,10,2,473.0
2026-05-25 10:29:05.671,tilt,1,1,10,2,473.0
2026-05-25 10:29:05.816,tilt,1,1,10,2,473.0
2026-05-25 10:29:05.957,tilt,1,1,10,2,474.0
2026-05-25 10:29:06.097,tilt,1,1,10,2,474.0
2026-05-25 10:29:06.240,tilt,1,1,10,2,474.0
2026-05-25 10:29:06.372,tilt,1,1,10,2,475.0
2026-05-25 10:29:06.516,tilt,1,1,10,2,475.0
2026-05-25 10:29:06.654,tilt,1,1,10,2,475.0
2026-05-25 10:29:06.798,tilt,1,1,10,2,476.0
2026-05-25 10:29:06.939,tilt,1,1,10,2,476.0
2026-05-25 10:29:07.077,tilt,1,1,10,2,476.0
2026-05-25 10:29:07.216,tilt,1,1,10,2,477.0
2026-05-25 10:29:07.360,tilt,1,1,10,2,477.0
2026-05-25 10:29:07.480,tilt,1,1,10,2,477.0
2026-05-25 10:29:07.621,tilt,1,1,10,2,478.0
2026-05-25 10:29:07.764,tilt,1,1,10,2,478.0
2026-05-25 10:29:07.925,tilt,1,1,10,2,479.0
2026-05-25 10:29:08.058,tilt,1,1,10,2,479.0
2026-05-25 10:29:08.199,tilt,1,1,10,2,479.0
2026-05-25 10:29:08.324,tilt,1,1,10,2,480.0
2026-05-25 10:29:08.462,tilt,1,1,10,2,480.0
2026-05-25 10:29:08.601,tilt,1,1,10,2,480.0
2026-05-25 10:29:08.741,tilt,1,1,10,2,481.0
2026-05-25 10:29:08.872,tilt,1,1,10,2,481.0
2026-05-25 10:29:09.007,tilt,1,1,10,2,481.0
2026-05-25 10:29:09.150,tilt,1,1,10,2,482.0
2026-05-25 10:29:09.291,tilt,1,1,10,2,482.0
2026-05-25 10:29:09.437,tilt,1,1,10,2,482.0
2026-05-25 10:29:09.568,tilt,1,1,10,2,483.0
